,id_A,wc_A,feature_A,us_weld_dist_A,wt_A,depth_A,length_A,width_A,orientation_A,pressure_1_A,pressure_2_A,joint_length_A,lat_A,lng_A,comments_A,us_weld_id_A,us_weld_dist_coord_A,us_weld_dist_wc_A,h_dist_A,orientation_x_A,orientation_y_A,id_B,wc_B,feature_B,us_weld_dist_B,wt_B,depth_B,length_B,width_B,orientation_B,pressure_1_B,pressure_2_B,joint_length_B,lat_B,lng_B,comments_B,us_weld_id_B,us_weld_dist_coord_B,us_weld_dist_wc_B,h_dist_B,orientation_x_B,orientation_y_B,pipe_section,section_sequence
1271,12820,55305.86,WELD,,0.219,,,,,,,44.934000000001106,32.43632933,-104.14123205,,12820.0,0.0,0.0,283.6426986002155,,,12820,55675.174,WELD,,0.219,,,,,,,45.22799999999552,32.43632933,-104.14123205,,12820.0,0.0,0.0,283.6426986002155,,,1271,200
1272,12830,55350.795,WELD,,0.219,,,,,,,44.93499999999767,32.43643094,-104.14131558,,12830.0,0.0,0.0,283.65616140185693,,,12830,55720.406,WELD,,0.219,,,,,,,45.23200000000361,32.43643094,-104.14131558,,12830.0,0.0,0.0,283.65616140185693,,,1272,200
1273,12840,55395.729,WELD,,0.219,,,,,,,44.934000000001106,32.43653281,-104.14139866,,12840.0,0.0,0.0,283.6696343494646,,,12840,55765.619,WELD,,0.219,,,,,,,45.2129999999961,32.43653281,-104.14139866,,12840.0,0.0,0.0,283.6696343494646,,,1273,200
1274,12850,55440.664,WELD,,0.219,,,,,,,44.93499999999767,32.4366345,-104.14148199,,12850.0,0.0,0.0,283.68309806125336,,,12850,55810.832,WELD,,0.219,,,,,,,45.213000000003376,32.4366345,-104.14148199,,12850.0,0.0,0.0,283.68309806125336,,,1274,200
1275,12860,55485.62,WELD,,0.219,,,,,,,44.95600000000559,32.4367361,-104.14156559,,12860.0,0.0,0.0,283.6965624837989,,,12860,55856.064,WELD,,0.219,,,,,,,45.23199999999633,32.4367361,-104.14156559,,12860.0,0.0,0.0,283.6965624837989,,,1275,200
1276,12870,55517.367,WELD,,0.219,,,,,,,31.74699999999575,32.43680799,-104.14162445,,12870.0,0.0,0.0,283.7060788770342,,,12870,55887.995,WELD,,0.219,,,,,,,31.931000000004133,32.43680799,-104.14162445,,12870.0,0.0,0.0,283.7060788770342,,,1276,200
1277,12880,55562.312,WELD,,0.219,,,,,,,44.94499999999971,32.43690994,-104.14170741,,12880.0,0.0,0.0,283.71955570971636,,,12880,55933.212,WELD,,0.219,,,,,,,45.216999999996915,32.43690994,-104.14170741,,12880.0,0.0,0.0,283.71955570971636,,,1277,200
1278,12890,55607.247,WELD,,0.219,,,,,,,44.93500000000495,32.43701135,-104.14179131,,12890.0,0.0,0.0,283.73301175240084,,,12890,55978.445,WELD,,0.219,,,,,,,45.233000000000175,32.43701135,-104.14179131,,12890.0,0.0,0.0,283.73301175240084,,,1278,200
1279,12900,55652.203,WELD,,0.219,,,,,,,44.95599999999831,32.4371128,-104.14187519,,12900.0,0.0,0.0,283.74647118352885,,,12900,56023.653,WELD,,0.219,,,,,,,45.20799999999872,32.4371128,-104.14187519,,12900.0,0.0,0.0,283.74647118352885,,,1279,200
1280,12910,55697.127,WELD,,0.219,,,,,,,44.92399999999907,32.4372146,-104.14195835,,12910.0,0.0,0.0,283.7599400718383,,,12910,56068.9,WELD,,0.219,,,,,,,45.24700000000303,32.4372146,-104.14195835,,12910.0,0.0,0.0,283.7599400718383,,,1280,200
1281,12920,55742.072,WELD,,0.219,,,,,,,44.94499999999971,32.43731648,-104.1420414,,12920.0,0.0,0.0,283.77341314165903,,,12920,56114.123,WELD,,0.219,,,,,,,45.22299999999814,32.43731648,-104.1420414,,12920.0,0.0,0.0,283.77341314165903,,,1281,200
1282,12930,55787.04,WELD,,0.219,,,,,,,44.96800000000076,32.4374181,-104.14212513,,12930.0,0.0,0.0,283.786884554101,,,12930,56159.355,WELD,,0.219,,,,,,,45.23200000000361,32.4374181,-104.14212513,,12930.0,0.0,0.0,283.786884554101,,,1282,200
1283,12940,55831.996,WELD,,0.219,,,,,,,44.95599999999831,32.43751941,-104.14220921,,12940.0,0.0,0.0,283.8003370944871,,,12940,56204.559,WELD,,0.219,,,,,,,45.203999999997905,32.43751941,-104.14220921,,12940.0,0.0,0.0,283.8003370944871,,,1283,200
1284,12950,55876.952,WELD,,0.219,,,,,,,44.95599999999831,32.43762095,-104.14229298,,12950.0,0.0,0.0,283.81380183880805,,,12950,56249.817,WELD,,0.219,,,,,,,45.25800000000163,32.43762095,-104.14229298,,12950.0,0.0,0.0,283.81380183880805,,,1284,200
1285,12960,55921.93,WELD,,0.219,,,,,,,44.978000000002794,32.43772285,-104.14237624,,12960.0,0.0,0.0,283.8272847592994,,,12960,56295.05,WELD,,0.219,,,,,,,45.233000000000175,32.43772285,-104.14237624,,12960.0,0.0,0.0,283.8272847592994,,,1285,200
1286,12970,55966.898,WELD,,0.219,,,,,,,44.96800000000076,32.43782464,-104.14245965,,12970.0,0.0,0.0,283.84076194610674,,,12970,56340.278,WELD,,0.219,,,,,,,45.22799999999552,32.43782464,-104.14245965,,12970.0,0.0,0.0,283.84076194610674,,,1286,200
