,id_A,feature_A,wc_A,wt_A,depth_in_A,length_in_A,width_in_A,joint_length_A,pressure_1_A,pressure_2_A,us_weld_dist_wc_ft_A,orientation_deg_A,orientation_x_A,orientation_y_A,comments_A,feature_category_A,id_B,feature_B,wc_B,wt_B,depth_in_B,length_in_B,width_in_B,joint_length_B,pressure_1_B,pressure_2_B,us_weld_dist_wc_ft_B,orientation_deg_B,orientation_x_B,orientation_y_B,comments_B,feature_category_B,pipe_section,section_sequence
77,10000013,LOCATION,5831.028,0.0,,,,,,,10.038000000000466,0.0,15.0,0.0,"AGM @ P³ SITE #1.09, DS N. Neptune Rd.",agm,,,,,,,,,,,,,,,,,263,0
1033,,,,,,,,,,,,,,,,,10000015,LOCATION,5858.266,0.0,,,,,,,7.641999999999825,0.0,15.0,0.0,"AGM @ P3 Site # 1.10, 34' SE of C/L N Neptune Ave.",agm,263,0
265,2760,WELD,5851.029,0.28,,,,15.055000000000291,35000.0,0.72,15.055000000000291,,,,ERW,erw,2760,WELD,5880.854,0.28,,,,15.16400000000067,35000.0,0.72,15.16400000000067,,,,ERW,erw,264,-1
266,2770,WELD,5872.169,0.0,,,,21.139999999999418,0.0,0.72,21.139999999999418,,,,,,2770,WELD,5902.131,0.0,,,,21.277000000000044,0.0,0.72,21.277000000000044,,,,,,265,-1
267,2780,WELD,5912.016,0.0,,,,39.84699999999975,0.0,0.72,39.84699999999975,,,,,,2780,WELD,5942.338,0.0,,,,40.206999999999425,0.0,0.72,40.206999999999425,,,,,,266,-1
268,2790,WELD,5952.109,0.28,,,,40.09300000000076,35000.0,0.72,40.09300000000076,,,,SEAMLESS,seamless,2790,WELD,5982.579,0.28,,,,40.240999999999985,35000.0,0.72,40.240999999999985,,,,LAP WELD,lap weld,267,-1
269,2800,WELD,5972.739,0.0,,,,20.6299999999992,0.0,0.72,20.6299999999992,,,,,,2800,WELD,6003.354,0.0,,,,20.775000000000546,0.0,0.72,20.775000000000546,,,,,,268,-1
335,20000381,METAL LOSS,5952.591,0.0,0.218,0.86,1.514,,,,0.4819999999999709,359.0,14.997715427345868,-0.2617860965592534,Ext Metal Loss,metal loss / mill anomaly,20001046,METAL LOSS,5983.068,0.0,0.337,0.889,1.212,,,,0.4890000000004875,354.0,14.9178284305241,-1.5679269490148013,Ext Metal Loss,metal loss / mill anomaly,268,0
336,20000382,METAL LOSS,5956.084,0.0,0.249,0.846,1.009,,,,3.9749999999994543,56.0,8.387893552061204,12.435563588325625,Ext Metal Loss,metal loss / mill anomaly,20001048,METAL LOSS,5986.574,0.0,0.374,0.85,0.734,,,,3.994999999999891,50.0,9.64181414529809,11.49066664678467,Ext Metal Loss,metal loss / mill anomaly,268,1
1034,,,,,,,,,,,,,,,,,20001047,METAL LOSS,5984.979,0.0,0.144,0.995,0.882,,,,2.4000000000005457,232.0,-9.234922129884872,-11.82016130410083,Ext Metal Loss,metal loss / mill anomaly,268,1
337,20000383,METAL LOSS,5957.535,0.0,0.192,0.773,0.701,,,,5.425999999999476,170.0,-14.772116295183121,2.604722665003954,Ext Metal Loss,metal loss / mill anomaly,20001050,METAL LOSS,5988.028,0.0,0.209,0.761,0.681,,,,5.449000000000524,165.0,-14.488887394336023,3.882285676537815,Ext Metal Loss,metal loss / mill anomaly,268,2
338,20000384,METAL LOSS,5958.034,0.0,0.258,0.847,1.155,,,,5.924999999999272,2.0,14.990862405286437,0.5234924505375146,Ext Metal Loss,metal loss / mill anomaly,20001051,METAL LOSS,5988.53,0.0,0.335,0.921,0.934,,,,5.951000000000022,354.0,14.9178284305241,-1.5679269490148013,Ext Metal Loss,metal loss / mill anomaly,268,3
1035,,,,,,,,,,,,,,,,,20001049,METAL LOSS,5987.801,0.0,0.137,0.795,0.742,,,,5.222000000000662,159.0,-14.003706397458027,5.375519243179503,Ext Metal Loss,metal loss / mill anomaly,268,3
339,20000385,METAL LOSS,5958.876,0.0,0.248,0.998,0.83,,,,6.766999999999825,2.0,14.990862405286437,0.5234924505375146,Ext Metal Loss,metal loss / mill anomaly,20001052,METAL LOSS,5989.379,0.0,0.261,1.115,0.953,,,,6.800000000000182,359.0,14.997715427345868,-0.2617860965592534,Ext Metal Loss,metal loss / mill anomaly,268,4
340,20000386,METAL LOSS,5959.872,0.0,0.272,1.123,0.83,,,,7.76299999999992,356.0,14.963460753897364,-1.0463471061618848,Ext Metal Loss,metal loss / mill anomaly,20001053,METAL LOSS,5990.378,0.0,0.155,1.065,1.432,,,,7.798999999999978,349.0,14.72440775171496,-2.86213493064817,Ext Metal Loss,metal loss / mill anomaly,268,5
341,20000387,METAL LOSS,5960.811,0.0,0.248,0.929,1.128,,,,8.701999999999316,14.0,14.554435894139948,3.628828433995016,Ext Metal Loss,metal loss / mill anomaly,20001054,METAL LOSS,5991.316,0.0,0.248,0.99,1.266,,,,8.73700000000008,7.0,14.88819227461983,1.8280401510772122,Ext Metal Loss,metal loss / mill anomaly,268,6
342,20000388,METAL LOSS,5964.909,0.0,0.255,1.132,0.822,,,,12.799999999999272,39.0,11.657189421854564,9.43980586574756,Ext Metal Loss,metal loss / mill anomaly,20001055,METAL LOSS,5995.448,0.0,0.207,1.161,1.303,,,,12.869000000000597,36.0,12.135254915624213,8.816778784387097,Ext Metal Loss,metal loss / mill anomaly,268,7
343,20000389,METAL LOSS,5966.793,0.0,0.252,0.788,0.527,,,,14.683999999999287,285.0,3.8822856765378044,-14.488887394336027,Ext Metal Loss,metal loss / mill anomaly,20001056,METAL LOSS,5997.335,0.0,0.152,0.857,0.827,,,,14.756000000000313,272.0,0.5234924505375192,-14.990862405286437,Ext Metal Loss,metal loss / mill anomaly,268,8
344,20000390,METAL LOSS,5967.42,0.0,0.409,1.0,0.808,,,,15.310999999999694,81.0,2.346516975603464,14.815325108927066,Ext Metal Loss,metal loss / mill anomaly,20001057,METAL LOSS,5997.969,0.0,0.377,1.013,1.012,,,,15.390000000000327,74.0,4.134560337254987,14.418925439074783,Ext Metal Loss,metal loss / mill anomaly,268,9
