B,joint_length
1,0.0
5,2.6740000000000004
7,0.9809999999999999
8,0.24299999999999988
12,2.6860000000000004
13,0.20399999999999974
15,0.9870000000000001
20,8.572
21,1.8449999999999989
24,8.628
25,1.5950000000000024
26,23.147999999999996
28,13.93500000000001
31,35.56299999999999
32,45.22300000000001
33,45.257000000000005
34,45.27099999999999
35,2.7369999999999948
37,9.378000000000014
38,31.281999999999982
42,45.23700000000002
43,45.242999999999995
44,45.236999999999966
45,45.23700000000002
46,45.233000000000004
47,45.22300000000001
48,45.236999999999966
49,45.236999999999966
50,45.2170000000001
51,45.263999999999896
53,45.24800000000005
54,45.25199999999995
55,45.24300000000005
57,45.24800000000005
58,45.26299999999992
62,45.25300000000004
63,43.35200000000009
65,45.23799999999983
66,45.23199999999997
67,45.25700000000006
68,45.26700000000005
69,45.261999999999944
70,45.24700000000007
72,42.33199999999988
76,45.25700000000006
77,45.22700000000009
78,45.238000000000056
79,45.18299999999999
80,45.23299999999995
81,45.18299999999999
82,25.75999999999999
84,45.25700000000006
85,45.25199999999995
86,45.24800000000005
87,45.22199999999998
88,45.266999999999825
89,45.228000000000065
90,45.27600000000007
92,45.23299999999995
93,45.24800000000005
94,45.277000000000044
95,45.2529999999997
96,45.253000000000156
97,45.253000000000156
98,45.2529999999997
99,45.26200000000017
100,45.24200000000019
101,45.24800000000005
102,45.26599999999962
103,45.25200000000041
106,45.261999999999716
107,45.253000000000156
108,45.246999999999844
109,45.271999999999935
110,45.26099999999997
111,45.238000000000284
112,45.25199999999995
113,45.222999999999956
114,45.246999999999844
115,45.25700000000006
116,45.24299999999994
117,31.052000000000135
118,45.25199999999995
119,35.20499999999993
120,45.22900000000027
121,45.22799999999961
122,45.238000000000284
123,45.24299999999994
124,45.246999999999844
125,45.2470000000003
126,45.222999999999956
127,45.271999999999935
128,45.25199999999995
129,45.266999999999825
130,45.25700000000006
131,45.26700000000028
132,45.25199999999995
133,45.23700000000008
134,45.266999999999825
135,45.25199999999995
136,45.25199999999995
137,45.25199999999995
138,45.26200000000017
139,45.277000000000044
140,45.222999999999956
141,45.22199999999975
142,45.228000000000065
143,45.22199999999975
144,45.24300000000039
145,45.24200000000019
146,45.2529999999997
147,45.228000000000065
148,45.238000000000284
149,45.25799999999981
150,45.24799999999959
151,45.262000000000626
152,45.26299999999992
153,45.2519999999995
154,45.262000000000626
155,45.25699999999961
156,45.25200000000041
157,45.261999999999716
158,45.25200000000041
159,45.261999999999716
160,45.266999999999825
161,45.266999999999825
162,45.2470000000003
163,45.266999999999825
164,45.25200000000041
165,45.25699999999961
166,45.24300000000039
167,45.261999999999716
168,45.25699999999961
169,45.25300000000061
170,45.24799999999959
171,45.228000000000065
172,45.22400000000016
173,45.24299999999948
174,45.238000000000284
175,45.21700000000055
176,45.237999999999374
177,45.2470000000003
178,45.25699999999961
179,45.262000000000626
180,45.24699999999939
181,45.2470000000003
182,45.2529999999997
183,45.2470000000003
184,45.28600000000006
185,45.25699999999961
186,45.267000000000735
187,45.276999999999134
188,45.267000000000735
189,45.29100000000017
191,45.1929999999993
192,45.271999999999935
193,45.2470000000003
194,45.271999999999935
195,45.25200000000041
196,45.261999999999716
197,45.261999999999716
198,45.25799999999981
199,36.314000000000306
200,45.24300000000039
201,45.233000000000175
202,45.232999999999265
203,45.26299999999992
204,45.238000000000284
205,45.271999999999935
206,45.29600000000028
207,45.266999999999825
208,45.222999999999956
209,45.28600000000006
210,35.48900000000049
211,42.42499999999927
212,45.27599999999984
213,45.277000000000044
215,45.262000000000626
216,45.24200000000019
217,45.237999999999374
218,38.78200000000015
219,45.2480000000005
220,45.245999999999185
221,45.25800000000072
222,45.21900000000005
223,45.24799999999959
224,45.28200000000015
226,45.277000000000044
229,45.28399999999965
230,42.311000000000604
231,42.28299999999945
232,45.310999999999694
233,45.272000000000844
234,45.261999999999716
236,45.27099999999973
237,45.25200000000041
238,45.25699999999961
239,45.272000000000844
240,45.25199999999859
241,45.28200000000106
242,45.277000000000044
243,9.920000000000073
244,2.1299999999991996
246,10.543999999999869
247,28.90099999999984
248,45.272000000000844
249,45.262000000000626
250,45.26199999999881
251,45.23700000000099
252,45.193999999999505
253,45.001000000000204
255,45.25200000000041
256,45.26199999999881
257,45.25300000000061
258,45.30400000000009
259,32.766999999999825
260,45.277000000000044
261,45.25799999999981
262,45.24300000000039
263,45.28700000000026
264,45.26800000000003
265,45.266999999999825
266,45.266999999999825
267,45.21299999999974
268,45.25699999999961
269,45.277000000000044
270,45.24699999999939
271,45.23700000000099
272,45.237999999999374
273,45.24700000000121
274,45.24699999999939
275,45.262000000000626
276,45.266999999999825
277,45.266999999999825
278,45.22199999999975
279,45.21299999999974
280,45.29100000000108
281,45.25799999999981
282,45.27099999999882
283,30.44300000000112
284,45.25299999999879
285,45.27100000000064
286,45.28700000000026
287,45.29600000000028
288,45.24799999999959
289,45.24300000000039
290,45.237999999999374
291,45.193999999999505
292,45.24200000000019
293,45.25799999999981
294,32.54399999999987
295,45.27300000000105
296,45.29600000000028
297,45.26199999999881
298,45.28200000000106
299,45.28099999999904
300,35.81800000000112
301,45.25199999999859
302,45.272000000000844
303,45.24699999999939
304,45.25699999999961
305,45.267000000001644
306,45.20299999999952
307,45.1929999999993
308,45.24799999999959
309,45.23199999999997
313,45.25200000000041
314,45.24799999999959
315,45.28200000000106
316,45.26299999999901
317,45.26300000000083
318,45.24799999999959
319,45.272000000000844
320,45.28199999999924
321,45.29199999999946
322,45.27100000000064
323,45.262000000000626
324,43.85399999999936
325,45.22700000000077
326,45.237999999999374
327,45.27100000000064
328,6.209999999999127
329,45.27100000000064
331,45.29199999999946
332,45.25699999999961
333,45.262000000000626
334,45.28600000000006
335,45.271999999999025
336,45.257000000001426
337,45.271999999999025
339,45.266999999999825
340,45.262000000000626
341,28.744000000000597
342,45.24699999999939
343,45.25699999999961
344,45.21800000000076
345,45.24699999999939
346,45.25300000000061
347,45.24300000000039
348,45.237999999999374
349,45.28199999999924
351,45.26800000000003
352,36.48099999999977
353,45.26300000000083
354,45.262000000000626
355,45.271999999999025
356,45.26599999999962
357,45.262000000000626
358,45.24799999999959
359,45.26100000000042
360,45.25300000000061
361,45.27599999999984
362,45.277000000000044
363,45.25699999999961
364,45.20800000000054
365,45.23199999999997
366,45.237999999999374
367,45.23199999999997
368,45.266999999999825
369,45.25300000000061
370,45.277000000000044
371,45.27299999999923
372,45.29199999999946
373,45.262000000000626
374,45.29199999999946
375,45.29200000000128
376,45.29699999999866
377,45.277000000000044
378,45.26600000000144
379,45.271999999999025
380,45.277000000000044
381,45.272000000000844
382,45.25199999999859
383,42.60100000000057
384,45.24700000000121
385,45.237999999999374
386,45.22699999999895
387,45.24800000000141
388,45.26199999999881
389,45.29100000000108
390,45.271999999999025
391,45.262000000000626
392,45.25699999999961
393,45.24699999999939
394,45.267000000001644
395,45.266999999999825
396,45.25199999999859
397,45.28100000000086
398,22.432999999999083
399,45.272000000000844
404,43.5
405,45.22400000000016
406,45.227999999999156
407,45.24800000000141
408,45.24799999999959
409,45.25699999999961
410,40.37800000000061
411,45.237999999999374
412,45.21299999999974
413,45.20800000000054
414,45.24699999999939
415,45.23199999999997
416,45.266999999999825
417,45.262000000000626
418,45.19800000000032
419,45.1929999999993
420,37.27599999999984
421,8.747000000001208
422,45.1979999999985
423,45.29700000000048
424,45.27599999999984
425,45.125
426,45.28100000000086
427,34.826999999999316
428,45.262000000000626
429,45.26599999999962
430,45.20299999999952
431,45.233000000000175
432,45.272000000000844
433,45.25699999999961
434,45.25799999999981
435,45.24300000000039
436,45.233000000000175
437,45.198999999998705
438,45.20400000000154
439,45.16899999999987
440,45.276999999998225
441,45.257000000001426
443,45.23700000000099
444,31.985000000000582
445,45.22699999999895
446,45.26199999999881
