,wc_B,wc_A,lat_A,lat_B,lng_A,lng_B
74,2742.997,2724.695,32.32314468,32.32314468,-104.04742168,-104.04742168
75,2788.235,2769.608,32.32326588,32.32326588,-104.0473913,-104.0473913
76,2833.487,2814.575,32.32338713,32.32338713,-104.04736038,-104.04736038
77,2878.71,2859.597,32.32350864,32.32350864,-104.04733004,-104.04733004
78,2923.957,2904.695,32.32363047,32.32363047,-104.04730032,-104.04730032
79,2969.214,2949.706,32.32375214,32.32375214,-104.04727109,-104.04727109
80,3014.457,2994.706,32.32387362,32.32387362,-104.04724094,-104.04724094
81,3045.509,3025.612,32.32395679,32.32395679,-104.04721881,-104.04721881
82,3090.761,3070.602,32.32407782,32.32407782,-104.04718639,-104.04718639
83,3125.966,3105.623,32.32417228,32.32417228,-104.04716247,-104.04716247
84,3171.195,3150.58,32.3242938,32.3242938,-104.04713344,-104.04713344
85,3216.423,3195.547,32.32441544,32.32441544,-104.04710485,-104.04710485
86,3261.661,3240.492,32.32453685,32.32453685,-104.04707508,-104.04707508
87,3306.904,3285.46,32.32465811,32.32465811,-104.04704482,-104.04704482
88,3352.151,3330.405,32.32477933,32.32477933,-104.04701419,-104.04701419
89,3397.398,3375.351,32.32490021,32.32490021,-104.04698212,-104.04698212
90,3442.621,3420.263,32.32502113,32.32502113,-104.04695022,-104.04695022
91,3487.893,3465.22,32.32514222,32.32514222,-104.04691877,-104.04691877
92,3533.145,3510.176,32.3252635,32.3252635,-104.04688818,-104.04688818
93,3578.412,3555.143,32.32538467,32.32538467,-104.04685683,-104.04685683
94,3623.669,3600.089,32.3255059,32.3255059,-104.04682635,-104.04682635
95,3668.936,3645.012,32.32562708,32.32562708,-104.0467957,-104.0467957
96,3714.188,3689.958,32.32574828,32.32574828,-104.04676495,-104.04676495
97,3759.425,3734.892,32.32586936,32.32586936,-104.04673369,-104.04673369
98,3804.692,3779.827,32.32599035,32.32599035,-104.04670191,-104.04670191
99,3849.944,3824.794,32.3261116,32.3261116,-104.04667138,-104.04667138
100,3895.196,3869.718,32.32623263,32.32623263,-104.04664029,-104.04664029
101,3940.448,3914.652,32.32635362,32.32635362,-104.04660848,-104.04660848
102,3985.71,3959.587,32.32647458,32.32647458,-104.04657657,-104.04657657
103,4030.987,4004.51,32.32659557,32.32659557,-104.04654524,-104.04654524
104,4076.21,4049.445,32.32671671,32.32671671,-104.04651482,-104.04651482
105,4121.432,4094.379,32.3268379,32.3268379,-104.04648435,-104.04648435
106,4166.66,4139.314,32.32695914,32.32695914,-104.04645409,-104.04645409
107,4211.882,4184.226,32.32708038,32.32708038,-104.04642397,-104.04642397
108,4257.125,4229.172,32.32720159,32.32720159,-104.04639345,-104.04639345
109,4302.367,4274.117,32.32732268,32.32732268,-104.04636196,-104.04636196
110,4347.62,4319.063,32.32744386,32.32744386,-104.04633129,-104.04633129
111,4392.848,4363.986,32.32756508,32.32756508,-104.04630122,-104.04630122
112,4438.086,4408.943,32.32768647,32.32768647,-104.04627115,-104.04627115
113,4483.344,4453.91,32.32780795,32.32780795,-104.04624152,-104.04624152
114,4528.592,4498.844,32.32792908,32.32792908,-104.0462105,-104.0462105
115,4573.854,4543.779,32.32805006,32.32805006,-104.04617917,-104.04617917
116,4619.117,4588.735,32.32817102,32.32817102,-104.04614718,-104.04614718
117,4664.369,4633.67,32.32829212,32.32829212,-104.04611614,-104.04611614
118,4709.631,4678.593,32.32841339,32.32841339,-104.0460859,-104.0460859
119,4754.888,4723.528,32.32853472,32.32853472,-104.04605599,-104.04605599
120,4800.14,4768.451,32.32865594,32.32865594,-104.04602553,-104.04602553
121,4845.402,4813.386,32.32877716,32.32877716,-104.04599493,-104.04599493
122,4890.654,4858.288,32.32889827,32.32889827,-104.0459643,-104.0459643
123,4935.916,4903.222,32.32901956,32.32901956,-104.04593415,-104.04593415
124,4981.183,4948.135,32.3291407,32.3291407,-104.0459035,-104.0459035
125,5026.45,4993.037,32.32926162,32.32926162,-104.04587177,-104.04587177
126,5071.697,5037.971,32.32938268,32.32938268,-104.04584034,-104.04584034
127,5116.964,5082.884,32.3295038,32.3295038,-104.04580951,-104.04580951
128,5162.216,5127.808,32.3296249,32.3296249,-104.04577839,-104.04577839
129,5207.473,5172.709,32.32974591,32.32974591,-104.04574726,-104.04574726
130,5252.716,5217.633,32.32986703,32.32986703,-104.0457163,-104.0457163
131,5297.978,5262.524,32.32998792,32.32998792,-104.04568462,-104.04568462
132,5343.235,5307.447,32.330109,32.330109,-104.04565343,-104.04565343
133,5388.488,5352.36,32.33023012,32.33023012,-104.04562273,-104.04562273
134,5433.736,5397.273,32.33035132,32.33035132,-104.04559247,-104.04559247
135,5478.964,5442.174,32.33047254,32.33047254,-104.04556249,-104.04556249
136,5524.188,5487.098,32.33059374,32.33059374,-104.04553216,-104.04553216
137,5569.431,5532.022,32.33071502,32.33071502,-104.04550205,-104.04550205
138,5614.669,5576.934,32.33083603,32.33083603,-104.04547076,-104.04547076
139,5659.886,5621.858,32.33095729,32.33095729,-104.04544061,-104.04544061
140,5705.124,5666.76,32.33107834,32.33107834,-104.0454096,-104.0454096
141,5750.371,5711.672,32.33119935,32.33119935,-104.0453783,-104.0453783
142,5795.628,5756.585,32.33132053,32.33132053,-104.04534792,-104.04534792
143,5840.89,5801.541,32.3314418,32.3314418,-104.04531734,-104.04531734
144,5886.137,5846.454,32.33156285,32.33156285,-104.04528641,-104.04528641
145,5931.384,5891.389,32.33168405,32.33168405,-104.04525571,-104.04525571
146,5976.637,5936.312,32.33180508,32.33180508,-104.04522462,-104.04522462
147,6021.884,5981.236,32.33192604,32.33192604,-104.04519286,-104.04519286
148,6067.17,6026.148,32.33204711,32.33204711,-104.04516197,-104.04516197
149,6112.427,6071.094,32.33216837,32.33216837,-104.04513166,-104.04513166
150,6157.694,6116.017,32.33228958,32.33228958,-104.0451013,-104.0451013
151,6202.971,6160.941,32.33241079,32.33241079,-104.04507119,-104.04507119
152,6248.238,6205.897,32.33253192,32.33253192,-104.04503978,-104.04503978
153,6293.529,6250.832,32.33265303,32.33265303,-104.04500874,-104.04500874
154,6338.722,6295.69,32.33277377,32.33277377,-104.04497744,-104.04497744
155,6383.994,6340.635,32.3328946,32.3328946,-104.04494554,-104.04494554
156,6429.241,6385.57,32.33301551,32.33301551,-104.04491486,-104.04491486
157,6474.513,6430.504,32.33313748,32.33313748,-104.04488959,-104.04488959
158,6519.765,6475.428,32.33326055,32.33326055,-104.04487284,-104.04487284
159,6565.027,6520.374,32.33338406,32.33338406,-104.04486106,-104.04486106
160,6610.289,6565.297,32.33350778,32.33350778,-104.04485251,-104.04485251
161,6655.547,6610.232,32.33363163,32.33363163,-104.04484649,-104.04484649
162,6691.861,6646.291,32.33373103,32.33373103,-104.04484197,-104.04484197
163,6737.104,6691.258,32.33385498,32.33385498,-104.04483634,-104.04483634
164,6782.337,6736.203,32.33397877,32.33397877,-104.04483049,-104.04483049
165,6827.57,6781.138,32.33410255,32.33410255,-104.044823,-104.044823
166,6872.833,6826.083,32.33422636,32.33422636,-104.04481518,-104.04481518
167,6918.071,6870.974,32.33435003,32.33435003,-104.04480812,-104.04480812
168,6963.343,6915.93,32.33447389,32.33447389,-104.04480109,-104.04480109
169,7008.639,6960.876,32.33459767,32.33459767,-104.04479383,-104.04479383
170,7053.906,7005.821,32.33472131,32.33472131,-104.04478612,-104.04478612
171,7099.129,7050.778,32.33484511,32.33484511,-104.04477938,-104.04477938
172,7144.415,7095.734,32.33496887,32.33496887,-104.04477273,-104.04477273
173,7179.904,7130.963,32.33506587,32.33506587,-104.0447669,-104.0447669
174,7222.329,7173.114,32.33518192,32.33518192,-104.04475988,-104.04475988
175,7267.605,7218.07,32.33530572,32.33530572,-104.04475243,-104.04475243
176,7312.882,7263.027,32.33542953,32.33542953,-104.04474492,-104.04474492
177,7358.144,7307.983,32.3355533,32.3355533,-104.04473682,-104.04473682
178,7403.386,7352.928,32.3356769,32.3356769,-104.04472816,-104.04472816
179,7448.624,7397.896,32.33580061,32.33580061,-104.04471998,-104.04471998
180,7487.406,7436.444,32.33590672,32.33590672,-104.04471494,-104.04471494
181,7532.654,7481.411,32.33603053,32.33603053,-104.04470816,-104.04470816
182,7577.9,7526.345,32.33615408,32.33615408,-104.04469831,-104.04469831
183,7623.158,7571.302,32.33627702,32.33627702,-104.04468006,-104.04468006
184,7668.377,7616.204,32.33639741,32.33639741,-104.04464652,-104.04464652
185,7713.625,7661.127,32.33651475,32.33651475,-104.0445998,-104.0445998
186,7758.907,7706.094,32.33663113,32.33663113,-104.04455041,-104.04455041
187,7804.184,7751.04,32.33674762,32.33674762,-104.04450072,-104.04450072
188,7849.468,7796.004,32.33686436,32.33686436,-104.04445161,-104.04445161
189,7891.779,7837.994,32.33697426,32.33697426,-104.04440869,-104.04440869
190,7934.062,7879.932,32.33708355,32.33708355,-104.04436403,-104.04436403
191,7979.373,7924.915,32.33720065,32.33720065,-104.04431576,-104.04431576
192,8024.645,7969.894,32.33731736,32.33731736,-104.04426671,-104.04426671
193,8069.907,8014.872,32.33743413,32.33743413,-104.04421734,-104.04421734
194,8115.178,8059.817,32.33755087,32.33755087,-104.04416821,-104.04416821
195,8160.43,8104.774,32.33766766,32.33766766,-104.04411925,-104.04411925
196,8205.687,8149.752,32.33778448,32.33778448,-104.04407005,-104.04407005
197,8250.959,8194.73,32.33790126,32.33790126,-104.04402078,-104.04402078
198,8296.211,8239.665,32.3380181,32.3380181,-104.04397208,-104.04397208
199,8341.493,8284.599,32.33813487,32.33813487,-104.04392313,-104.04392313
200,8386.77,8329.534,32.33825194,32.33825194,-104.04387537,-104.04387537
201,8396.69,8339.381,32.33827759,32.33827759,-104.04386484,-104.04386484
202,8398.82,8341.471,32.33828302,32.33828302,-104.04386259,-104.04386259
203,8409.364,8351.95,32.33830962,32.33830962,-104.04386657,-104.04386657
204,8438.265,8380.582,32.33837618,32.33837618,-104.04391667,-104.04391667
205,8483.537,8425.514,32.33848095,32.33848095,-104.04399469,-104.04399469
206,8528.799,8470.472,32.33858582,32.33858582,-104.04407258,-104.04407258
207,8574.061,8515.516,32.33869064,32.33869064,-104.04415118,-104.04415118
208,8619.298,8560.68,32.33879596,32.33879596,-104.04422964,-104.04422964
209,8664.492,8605.745,32.33890097,32.33890097,-104.04430797,-104.04430797
210,8709.493,8650.625,32.3390048,32.3390048,-104.04438738,-104.04438738
211,8754.745,8695.658,32.33910921,32.33910921,-104.04446657,-104.04446657
212,8800.007,8740.702,32.33921405,32.33921405,-104.04454515,-104.04454515
213,8845.26,8785.68,32.33931847,32.33931847,-104.04462407,-104.04462407
214,8890.564,8830.625,32.33942259,32.33942259,-104.04470332,-104.04470332
215,8923.331,8863.213,32.33949828,32.33949828,-104.04476047,-104.04476047
216,8968.608,8908.158,32.33960296,32.33960296,-104.04483869,-104.04483869
217,9013.866,8953.104,32.33970781,32.33970781,-104.04491657,-104.04491657
218,9059.109,8998.027,32.33981252,32.33981252,-104.04499459,-104.04499459
219,9104.396,9042.94,32.33991711,32.33991711,-104.04507281,-104.04507281
220,9149.664,9087.896,32.3400215,32.3400215,-104.04515163,-104.04515163
221,9194.931,9132.82,32.34012612,32.34012612,-104.04522988,-104.04522988
222,9240.198,9177.787,32.34023074,32.34023074,-104.04530838,-104.04530838
223,9285.411,9222.678,32.34033475,32.34033475,-104.04538757,-104.04538757
224,9330.668,9267.634,32.34043896,32.34043896,-104.04546676,-104.04546676
225,9375.945,9312.602,32.3405434,32.3405434,-104.04554557,-104.04554557
226,9421.192,9357.558,32.3406481,32.3406481,-104.04562387,-104.04562387
227,9466.429,9402.492,32.34075271,32.34075271,-104.04570213,-104.04570213
228,9511.667,9447.438,32.34085729,32.34085729,-104.04578061,-104.04578061
229,9556.914,9492.361,32.3409621,32.3409621,-104.04585846,-104.04585846
230,9602.161,9537.307,32.34106683,32.34106683,-104.04593657,-104.04593657
231,9647.423,9582.241,32.34117137,32.34117137,-104.04601509,-104.04601509
232,9692.69,9627.198,32.34127571,32.34127571,-104.04609397,-104.04609397
233,9737.957,9672.132,32.34137998,32.34137998,-104.04617294,-104.04617294
234,9783.179,9717.034,32.34148434,32.34148434,-104.04625149,-104.04625149
235,9828.392,9761.925,32.34158943,32.34158943,-104.04632864,-104.04632864
236,9873.683,9806.87,32.34169412,32.34169412,-104.04640684,-104.04640684
237,9918.941,9851.805,32.3417986,32.3417986,-104.04648536,-104.04648536
238,9964.212,9896.739,32.34190327,32.34190327,-104.04656358,-104.04656358
239,9994.655,9926.98,32.3419737,32.3419737,-104.04661618,-104.04661618
240,10039.908,9971.903,32.34207806,32.34207806,-104.04669489,-104.04669489
241,10085.179,10016.827,32.34218265,32.34218265,-104.04677325,-104.04677325
242,10130.466,10061.75,32.34228727,32.34228727,-104.04685142,-104.04685142
243,10175.762,10106.685,32.34239178,32.34239178,-104.04692988,-104.04692988
244,10221.01,10151.641,32.34249643,32.34249643,-104.0470083,-104.0470083
245,10266.253,10196.554,32.34260102,32.34260102,-104.04708645,-104.04708645
246,10311.491,10241.51,32.34270586,32.34270586,-104.04716441,-104.04716441
247,10356.685,10286.39,32.34281067,32.34281067,-104.04724205,-104.04724205
248,10401.927,10331.314,32.3429155,32.3429155,-104.0473198,-104.0473198
249,10447.185,10376.248,32.3430199,32.3430199,-104.04739846,-104.04739846
250,10479.729,10408.552,32.34309485,32.34309485,-104.04745522,-104.04745522
251,10525.002,10453.486,32.34319931,32.34319931,-104.04753382,-104.04753382
252,10570.298,10498.443,32.34330396,32.34330396,-104.04761198,-104.04761198
253,10615.56,10543.355,32.34340847,32.34340847,-104.04769024,-104.04769024
254,10660.842,10588.301,32.34351309,32.34351309,-104.04776842,-104.04776842
255,10706.123,10633.224,32.34361745,32.34361745,-104.04784692,-104.04784692
256,10741.941,10668.781,32.34370017,32.34370017,-104.04790887,-104.04790887
257,10787.193,10713.705,32.3438047,32.3438047,-104.04798673,-104.04798673
258,10832.465,10758.65,32.34390904,32.34390904,-104.04806516,-104.04806516
259,10877.712,10803.541,32.3440135,32.3440135,-104.0481433,-104.0481433
260,10922.969,10848.454,32.34411801,32.34411801,-104.0482213,-104.0482213
261,10968.236,10893.399,32.3442225,32.3442225,-104.04829936,-104.04829936
262,11013.439,10938.29,32.34432676,32.34432676,-104.04837766,-104.04837766
263,11058.632,10983.17,32.34443167,32.34443167,-104.04845479,-104.04845479
264,11103.88,11028.104,32.34453586,32.34453586,-104.04853297,-104.04853297
265,11149.112,11073.006,32.34464003,32.34464003,-104.04861177,-104.04861177
266,11194.364,11117.941,32.34474469,32.34474469,-104.04868997,-104.04868997
